timestamp,temperature,humidity
0,51.91921846539588,48.82804300210738
1800,51.64774757398919,46.137057063267946
3600,50.1632138078877,48.807789478139554
5400,53.44586453919565,46.34821124039785
7200,52.30582584841953,46.83247906026842
9000,58.82986074181194,55.62129760131812
10800,56.793463440146965,56.547974286990716
12600,59.46125901343628,52.56516123875738
14400,58.13492700220419,52.481061918859666
16200,58.62017518347749,54.403931545875885
18000,57.318970311557074,55.446314081316594
19800,58.664212224362736,56.10399419319321
21600,58.423935037317314,52.234015914455725
23400,56.47724809971204,56.7623495694224
25200,59.598833198823314,54.14975367123683
27000,57.16773076610485,55.12305614812601
28800,56.85644134411227,52.14275111389667
30600,59.24545330588508,56.3509930384251
32400,57.30457598742859,54.44932589188667
34200,58.31516891221601,52.4246665247549
36000,59.595026477321994,55.84081078856762
37800,58.95777682496949,55.22482027159696
39600,57.11825810606822,53.140065211017436
41400,59.59429665279268,54.76425251757828
43200,59.97267001394662,56.258432128535404
45000,58.95564995435539,55.625975666849435
46800,51.613467998899196,46.36577307632037
48600,51.492423822452544,46.64971363460816
50400,50.40055960765277,46.164867948938145
52200,53.20003136486134,48.05128898588027
54000,52.83167292923542,47.62715920163182
55800,53.50894860565928,45.403845739630555
57600,51.44751784751091,48.79282796995462
59400,51.7569111573126,45.77074714461873
61200,50.6290779828153,47.08135747761819
63000,52.44504424509751,46.76755458366155
64800,52.818580763036984,46.75922621324819
66600,52.86360321972771,48.86469763624849
68400,53.52078162744032,47.63256693578
70200,51.07669623716186,47.58568813360063
72000,51.54007284372982,48.37675127657427
73800,51.18792376053832,46.750322913448
75600,53.030319756742465,45.53776790261003
77400,51.288576830089525,47.29422848630669
79200,51.11919122945899,48.07302377051005
81000,51.281164035600646,46.42584569855097
82800,51.162259145694144,48.72926805886975
84600,52.48091844334303,47.947184808891755
