# Example CSV file - Passing temperature cure run
# Job: Powder coat cure batch 002 - Extended hold
# Equipment: PMT Sensor Array  
# Date: 2024-01-15
timestamp,pmt_sensor_1,pmt_sensor_2
2024-01-15T10:00:00Z,165.2,164.8
2024-01-15T10:00:30Z,170.5,169.9
2024-01-15T10:01:00Z,175.8,175.2
2024-01-15T10:01:30Z,179.1,178.7
2024-01-15T10:02:00Z,181.3,180.9
2024-01-15T10:02:30Z,182.5,182.1
2024-01-15T10:03:00Z,183.2,182.8
2024-01-15T10:03:30Z,183.0,182.6
2024-01-15T10:04:00Z,182.8,182.4
2024-01-15T10:04:30Z,182.6,182.2
2024-01-15T10:05:00Z,182.4,182.0
2024-01-15T10:05:30Z,182.3,182.1
2024-01-15T10:06:00Z,182.2,182.0
2024-01-15T10:06:30Z,182.1,182.0
2024-01-15T10:07:00Z,182.2,182.1
2024-01-15T10:07:30Z,182.0,182.0
2024-01-15T10:08:00Z,182.1,182.0
2024-01-15T10:08:30Z,182.0,182.0
2024-01-15T10:09:00Z,182.2,182.0
2024-01-15T10:09:30Z,182.0,182.0
2024-01-15T10:10:00Z,182.1,182.0
2024-01-15T10:10:30Z,182.0,182.0
2024-01-15T10:11:00Z,182.0,182.0
2024-01-15T10:11:30Z,182.0,182.0
2024-01-15T10:12:00Z,182.0,182.0
2024-01-15T10:12:30Z,182.0,182.0
2024-01-15T10:13:00Z,182.0,182.0
2024-01-15T10:13:30Z,182.0,182.0
2024-01-15T10:14:00Z,182.0,182.0
2024-01-15T10:14:30Z,182.0,182.0
2024-01-15T10:15:00Z,182.0,182.0
2024-01-15T10:15:30Z,182.0,182.0
2024-01-15T10:16:00Z,182.0,182.0
2024-01-15T10:16:30Z,182.0,182.0
2024-01-15T10:17:00Z,182.0,182.0
2024-01-15T10:17:30Z,182.0,182.0
2024-01-15T10:18:00Z,181.8,181.6
2024-01-15T10:18:30Z,181.5,181.2
2024-01-15T10:19:00Z,181.0,180.8
2024-01-15T10:19:30Z,180.5,180.2
2024-01-15T10:20:00Z,179.8,179.5
