# Example CSV file - Data with gaps (simulating sensor disconnection)
# Job: Powder coat cure batch 003
# Equipment: PMT Sensor Array
# Date: 2024-01-15
timestamp,pmt_sensor_1,pmt_sensor_2
2024-01-15T16:00:00Z,165.2,164.8
2024-01-15T16:00:30Z,170.5,169.9
2024-01-15T16:01:00Z,175.8,175.2
2024-01-15T16:01:30Z,179.1,178.7
2024-01-15T16:02:00Z,181.3,180.9
2024-01-15T16:04:00Z,183.2,182.8
2024-01-15T16:04:30Z,183.0,182.6
2024-01-15T16:05:00Z,182.8,182.4
2024-01-15T16:06:30Z,182.2,181.8
2024-01-15T16:07:00Z,182.0,181.6
2024-01-15T16:07:30Z,181.8,181.4
2024-01-15T16:08:00Z,181.6,181.2
2024-01-15T16:10:00Z,181.0,180.6
2024-01-15T16:10:30Z,180.8,180.4
2024-01-15T16:11:00Z,180.6,180.2
