# Example CSV file - Failing temperature cure run (insufficient hold time)
# Job: Powder coat cure batch 002
# Equipment: PMT Sensor Array
# Date: 2024-01-15
timestamp,pmt_sensor_1,pmt_sensor_2
2024-01-15T14:00:00Z,165.2,164.8
2024-01-15T14:00:30Z,170.5,169.9
2024-01-15T14:01:00Z,175.8,175.2
2024-01-15T14:01:30Z,179.1,178.7
2024-01-15T14:02:00Z,181.3,180.9
2024-01-15T14:02:30Z,182.5,182.1
2024-01-15T14:03:00Z,183.2,182.8
2024-01-15T14:03:30Z,183.0,182.6
2024-01-15T14:04:00Z,182.8,182.4
2024-01-15T14:04:30Z,182.6,182.2
2024-01-15T14:05:00Z,179.5,179.1
2024-01-15T14:05:30Z,176.2,175.8
2024-01-15T14:06:00Z,173.0,172.6
2024-01-15T14:06:30Z,170.4,170.0
2024-01-15T14:07:00Z,168.2,167.8
