timestamp,sensor_1,sensor_2,sensor_3
2024-01-01T10:00:00Z,25.2,25.1,25.3
2024-01-01T10:00:10Z,32.4,32.2,32.6
2024-01-01T10:00:20Z,45.8,45.5,46.0
2024-01-01T10:00:30Z,58.9,58.7,59.1
2024-01-01T10:00:40Z,72.1,71.8,72.4
2024-01-01T10:00:50Z,85.3,85.0,85.6
2024-01-01T10:01:00Z,98.7,98.4,98.9
2024-01-01T10:01:10Z,112.2,111.8,112.5
2024-01-01T10:01:20Z,125.4,125.1,125.7
2024-01-01T10:01:30Z,138.9,138.6,139.2
2024-01-01T10:01:40Z,152.1,151.8,152.4
2024-01-01T10:01:50Z,165.3,165.0,165.6
2024-01-01T10:02:00Z,175.8,175.5,176.1
2024-01-01T10:02:10Z,177.2,176.9,177.5
2024-01-01T10:02:20Z,178.4,178.1,178.7
2024-01-01T10:02:30Z,179.1,178.8,179.4
2024-01-01T10:02:40Z,179.5,179.2,179.8
2024-01-01T10:02:50Z,179.8,179.5,180.1
2024-01-01T10:03:00Z,180.0,179.7,180.3
2024-01-01T10:03:10Z,180.1,179.8,180.4
2024-01-01T10:03:20Z,180.2,179.9,180.5
2024-01-01T10:03:30Z,180.3,180.0,180.6
2024-01-01T10:03:40Z,180.2,179.9,180.5
2024-01-01T10:03:50Z,180.1,179.8,180.4
2024-01-01T10:04:00Z,180.0,179.7,180.3
2024-01-01T10:04:10Z,179.9,179.6,180.2
2024-01-01T10:04:20Z,179.8,179.5,180.1
2024-01-01T10:04:30Z,179.7,179.4,180.0
2024-01-01T10:04:40Z,179.6,179.3,179.9
2024-01-01T10:04:50Z,179.5,179.2,179.8
2024-01-01T10:05:00Z,179.4,179.1,179.7
2024-01-01T10:05:10Z,179.3,179.0,179.6
2024-01-01T10:05:20Z,179.2,178.9,179.5
2024-01-01T10:05:30Z,179.1,178.8,179.4
2024-01-01T10:05:40Z,179.0,178.7,179.3
2024-01-01T10:05:50Z,178.9,178.6,179.2
2024-01-01T10:06:00Z,178.8,178.5,179.1
2024-01-01T10:06:10Z,178.7,178.4,179.0
2024-01-01T10:06:20Z,178.6,178.3,178.9
2024-01-01T10:06:30Z,178.5,178.2,178.8
