Company,Contact_Email,Contact_Name,Phone,Website,Primary_Products,Target_Industries,Partnership_Priority,Personal_Note
Conestoga Cold Storage,info@conestogacold.com,Team,,https://www.conestogacold.com,"Cold storage","Food",Medium,
Confederation Freezers,info@confedfreezers.com,Team,,https://www.confedfreezers.com,"Cold storage","Food",Low,
Trenton Cold Storage,info@trentoncoldstorage.com,Team,,https://www.trentoncoldstorage.com,"Cold storage","Food",Low,
Hanson Logistics,info@hansonlogistics.com,Team,,https://www.hansonlogistics.com,"Cold storage & logistics","Food",Low,
Henningsen Cold Storage,info@henningsen.com,Team,,https://www.henningsen.com,"Cold storage","Food",Low,
Magnavale,info@magnavale.com,Team,,https://www.magnavale.com,"Cold storage","Food",Medium,
STEF,contact@stef.com,Team,,https://www.stef.com,"Cold chain logistics","Food, pharma",Medium,
NORDFROST,info@nordfrost.de,Team,,https://www.nordfrost.de,"Cold chain logistics","Food, pharma",Medium,
Nagel-Group,info@nagel-group.com,Team,,https://www.nagel-group.com,"Food logistics","Food",Low,
Yourway,info@yourway.com,Team,,https://www.yourway.com,"CGT logistics","Cell & gene",High,
World Courier,info@worldcourier.com,Team,,https://www.worldcourier.com,"Specialty logistics","Pharma",High,
Marken,info@marken.com,Team,,https://www.marken.com,"Clinical logistics","Pharma",High,
Azenta (Brooks),info@azenta.com,Team,,https://www.azenta.com,"Biostorage & logistics","Pharma",High,
QuickSTAT,info@quick.aero,Team,,https://www.quick.aero,"Life science logistics","Pharma",High,
