Company,Contact_Email,Contact_Name,Phone,Website,Primary_Products,Target_Industries,Partnership_Priority,Personal_Note
Lineage Logistics,info@lineagelogistics.com,Team,,https://www.lineagelogistics.com,"Cold storage & logistics","Food, pharma",High,"Friday note—no rush today; a simple per-shipment certificate helps receivers close audits faster."
Burris Logistics,info@burrislogistics.com,Team,,https://www.burrislogistics.com,"Cold storage & logistics","Food",Medium,"Pre-weekend touch—Burris + audit-ready certificates makes handoffs cleaner; sample Monday if useful."
VersaCold,info@versacold.com,Team,,https://www.versacold.com,"Cold storage & logistics","Food",Medium,"Friday hello—happy to prep a VersaCold-branded example; reply next week is fine."
Congebec,info@congebec.com,Team,,https://www.congebec.com,"Cold storage","Food",Medium,"Heading into the weekend—certificate pairs with WMS handoffs for clean audits; sample next week."
Interstate Warehousing,info@interstatewarehousing.com,Team,,https://www.interstatewarehousing.com,"Cold storage","Food",Medium,"Friday check-in—receivers want simple proof; I can send a quick example Monday."
Nor-Am Cold Storage,info@nor-am.com,Team,,https://www.nor-am.com,"Cold storage","Food",Medium,"Weekend-friendly note—a small, standardized certificate helps QA; happy to share next week."
RLS Logistics,info@rlslogistics.com,Team,,https://www.rlslogistics.com,"Cold storage & logistics","Food",Medium,"Friday skim—co-branded certificate alongside shipment data keeps audits painless; sample next week."
Kloosterboer,info@kloosterboer.com,Team,,https://www.kloosterboer.com,"Cold storage","Food",Low,"Friday note—no rush; certificate artifact per load helps receivers."
Newark Cold Storage,info@newarkcold.com,Team,,https://www.newarkcold.com,"Cold storage","Food",Low,"Pre-weekend hello—happy to send a simple example Monday."
Nichirei Logistics,info@nichirei-logi.co.jp,Team,,https://www.nichirei-logi.co.jp,"Cold chain logistics","Pharma, food",Low,"Friday check-in—standardized certificate attached to data exports helps audits; sample next week."
Frialsa Logistica,contacto@frialsa.com.mx,Team,,https://www.frialsa.com.mx,"Cold storage","Food",Low,"Friday quick one—co-branded certificate per shipment keeps handoffs clean; can share next week."
Snowman Logistics,info@snowman.in,Team,,https://www.snowman.in,"Cold chain logistics","Food, pharma",Low,"Friday note—happy to send a sample certificate next week."
Coldman Logistics,info@coldman.in,Team,,https://www.coldman.in,"Cold chain logistics","Food",Low,"Heading into weekend—simple certificate artifact helps receiver audits; example Monday."
Verigo,hello@verigo.io,Team,,https://www.verigo.io,"Bluetooth loggers","Food, pharma",Medium,"Friday hello—Verigo + a tamper-evident certificate is a clean fit; can share next week."
TempTRIP,info@temptrip.com,Team,,https://www.temptrip.com,"Temp recorders","Food, pharma",Low,"Friday check-in—sample certificate attached to each run helps QA; happy to share Monday."
