Company,Contact_Email,Contact_Name,Phone,Website,Primary_Products,Target_Industries,Partnership_Priority,Personal_Note
BINDER GmbH,[email protected],Team,,https://www.binder-world.com,"Simulation chambers","Pharma, labs",High,"Quick partner idea—can share a co-branded certificate sample next week; no rush to reply."
Systec GmbH,[email protected],Team,,https://www.systec-lab.com,"Autoclaves","Labs, pharma",High,"Partner note—happy to prepare a Systec-branded example for inspection workflows next week."
LTE Scientific,[email protected],Team,,https://www.lte-scientific.co.uk,"Sterilizers & ovens","Healthcare, labs",High,"Short Friday ping—can share a simple inspector-ready sample Monday if helpful."
Zirbus,[email protected],Team,,https://www.zirbus.com,"Autoclaves & freeze-dryers","Labs, pharma",Medium,"Not urgent—example certificate aligned to cycles/exports; ready next week."
De Lama,[email protected],Team,,https://www.delama.it,"Sterilization systems","Pharma",High,"Partner idea—happy to prep a De Lama–branded sample next week."
Caron Products,[email protected],Team,,https://caronproducts.com,"Environmental chambers","Pharma, research",High,"Can share a co-branded certificate artifact for stability runs—next week if useful."
SHEL Lab (Sheldon Mfg),[email protected],Team,,https://www.shellab.com,"Ovens & incubators","Labs",Medium,"Simple partner sample that pairs with SHEL exports; happy to send Monday."
Thermoline Scientific,[email protected],Team,,https://thermoline.com.au,"Laboratory equipment","Labs",Low,"Partner note—example certificate per run; reply next week is fine."
Yamato Scientific America,[email protected],Team,,https://www.yamato-usa.com,"Ovens & incubators","Labs",Medium,"Quick partner idea—can send a Yamato-branded sample next week."
NuAire,[email protected],Team,,https://www.nuaire.com,"Biosafety & lab equipment","Healthcare, labs",Medium,"Not urgent—happy to share a sample certificate artifact for audits next week."
Esco Lifesciences,[email protected],Team,,https://www.escolifesciences.com,"Lab equipment","Healthcare, labs",Medium,"Partner note—co-branded certificate alongside exports; can send Monday."
Darwin Chambers,[email protected],Team,,https://www.darwinchambers.com,"Stability & environmental chambers","Pharma, research",High,"Stability teams ask for simple proof—can share a Darwin-branded sample next week."
