Company,Contact_Email,Contact_Name,Phone,Website,Primary_Products,Target_Industries,Partnership_Priority,Personal_Note
Caron Products,sales@caronproducts.com,Sales,,https://caronproducts.com,"Environmental/stability chambers","Pharma, research",High,"Stability teams ask for simple proof—can share a Caron‑branded sample next week."
SHEL Lab (Sheldon Mfg),sales@shellab.com,Sales,,https://www.shellab.com,"Ovens & incubators","Labs",Medium,"Simple partner sample that pairs with SHEL exports; happy to send Monday."
Thermoline Scientific,sales@thermoline.com.au,Sales,,https://thermoline.com.au,"Laboratory equipment","Labs",Low,"Example certificate per run; reply next week is fine."
Yamato Scientific America,info@yamato-usa.com,Team,,https://www.yamato-usa.com,"Ovens & incubators","Labs",Medium,"Quick partner idea—can send a Yamato‑branded sample next week."
NuAire,info@nuaire.com,Team,,https://www.nuaire.com,"Biosafety & lab equipment","Healthcare, labs",Medium,"Happy to share a sample certificate artifact for audits next week."
Esco Lifesciences,enquiry@escolifesciences.com,Enquiry,,https://www.escolifesciences.com,"Lab equipment","Healthcare, labs",Medium,"Co‑branded certificate alongside exports; can send Monday."
Darwin Chambers,info@darwinchambers.com,Team,,https://www.darwinchambers.com,"Stability & environmental chambers","Pharma, research",High,"Stability teams ask for simple proof—can share a Darwin‑branded sample next week."
LTE Scientific,sales@lte-scientific.co.uk,Sales,,https://www.lte-scientific.co.uk,"Sterilizers & ovens","Healthcare, labs",High,"Inspector‑ready sample available Monday; partner‑tone only, no urgency."
Systec GmbH,sales@systec-lab.com,Sales,,https://www.systec-lab.com,"Autoclaves","Labs, pharma",High,"Systec workflows + a simple certificate artifact—happy to prep next week."
De Lama,info@delama.it,Team,,https://www.delama.it,"Sterilization systems","Pharma",High,"Partner idea—can prep a De Lama–branded example next week."
ZIRBUS,info@zirbus.com,Team,,https://www.zirbus.com,"Autoclaves & freeze‑dryers","Labs, pharma",Medium,"Example certificate aligned to cycles/exports ready next week."
