Company,Contact_Email,Contact_Name,Phone,Website,Primary_Products,Target_Industries,Partnership_Priority,Personal_Note
BioLife Solutions,info@biolifesolutions.com,Team,,https://www.biolifesolutions.com,"Cold chain & CGT solutions","Cell & gene",High,
CSafe,info@csafeglobal.com,Team,,https://csafeglobal.com,"Active containers","Pharma",High,
SkyCell,info@skycell.ch,Team,,https://www.skycell.ch,"Active containers","Pharma",High,
va-Q-tec,info@va-q-tec.com,Team,,https://www.va-q-tec.com,"VIP thermal systems","Pharma",High,
Softbox (by CSafe),info@softboxsystems.com,Team,,https://softboxsystems.com,"Insulated shippers","Pharma",High,
Intelsius,info@intelsius.com,Team,,https://intelsius.com,"Insulated packaging","Pharma",High,
Mesa Labs,customerservice@mesalabs.com,Customer Service,,https://www.mesalabs.com,"Monitoring & validation","Pharma",High,
ELPRO,info@elpro.com,Team,,https://www.elpro.com,"LIBERO & cloud","Pharma",High,
T&D Corporation,quotes@tanddproducts.ltd,Sales,,https://www.tandd.com,"Data loggers","Food, pharma",High,
Temprecord,sales@temprecord.com,Sales,,https://www.temprecord.com,"Data loggers","Pharma, food",High,
