# ProofKit Template: Standard Powder Coat Cure - 180°C for 10 minutes
# Industry: Automotive/Industrial Coating
# Standard: ISO 2368, Qualicoat
# Equipment: PMT Temperature Sensors
# Description: Template showing successful cure cycle with proper ramp and hold
timestamp,pmt_sensor_1,pmt_sensor_2
2024-08-05T09:00:00Z,22.1,22.3
2024-08-05T09:00:30Z,28.4,28.6
2024-08-05T09:01:00Z,35.7,35.9
2024-08-05T09:01:30Z,44.2,44.4
2024-08-05T09:02:00Z,53.8,54.0
2024-08-05T09:02:30Z,64.5,64.7
2024-08-05T09:03:00Z,76.2,76.4
2024-08-05T09:03:30Z,88.9,89.1
2024-08-05T09:04:00Z,102.3,102.5
2024-08-05T09:04:30Z,116.8,117.0
2024-08-05T09:05:00Z,132.1,132.3
2024-08-05T09:05:30Z,148.2,148.4
2024-08-05T09:06:00Z,164.7,164.9
2024-08-05T09:06:30Z,175.3,175.5
2024-08-05T09:07:00Z,180.1,180.3
2024-08-05T09:07:30Z,181.2,181.4
2024-08-05T09:08:00Z,181.8,182.0
2024-08-05T09:08:30Z,182.1,182.3
2024-08-05T09:09:00Z,182.0,182.2
2024-08-05T09:09:30Z,181.9,182.1
2024-08-05T09:10:00Z,181.7,181.9
2024-08-05T09:10:30Z,181.8,182.0
2024-08-05T09:11:00Z,181.9,182.1
2024-08-05T09:11:30Z,182.0,182.2
2024-08-05T09:12:00Z,181.8,182.0
2024-08-05T09:12:30Z,181.6,181.8
2024-08-05T09:13:00Z,181.4,181.6
2024-08-05T09:13:30Z,181.2,181.4
2024-08-05T09:14:00Z,181.0,181.2
2024-08-05T09:14:30Z,180.8,181.0
2024-08-05T09:15:00Z,180.6,180.8
2024-08-05T09:15:30Z,180.4,180.6
2024-08-05T09:16:00Z,180.2,180.4
2024-08-05T09:16:30Z,180.0,180.2
2024-08-05T09:17:00Z,179.8,180.0
2024-08-05T09:17:30Z,178.2,178.4
2024-08-05T09:18:00Z,175.6,175.8
2024-08-05T09:18:30Z,172.1,172.3
2024-08-05T09:19:00Z,167.8,168.0
2024-08-05T09:19:30Z,162.4,162.6
