# ProofKit Template: HACCP Cooling Curve - 135°F to 41°F FDA Compliance
# Industry: Food Service/Manufacturing
# Standard: FDA Food Code, HACCP
# Equipment: Food Probe Thermometer
# Description: Two-stage cooling validation (135-70 in 2h, 70-41 in 4h)
timestamp,food_temp_F
2024-08-05T14:00:00Z,138.2
2024-08-05T14:05:00Z,132.1
2024-08-05T14:10:00Z,126.8
2024-08-05T14:15:00Z,121.5
2024-08-05T14:20:00Z,116.3
2024-08-05T14:25:00Z,111.2
2024-08-05T14:30:00Z,106.4
2024-08-05T14:35:00Z,101.8
2024-08-05T14:40:00Z,97.5
2024-08-05T14:45:00Z,93.4
2024-08-05T14:50:00Z,89.6
2024-08-05T14:55:00Z,86.1
2024-08-05T15:00:00Z,82.8
2024-08-05T15:05:00Z,79.7
2024-08-05T15:10:00Z,76.9
2024-08-05T15:15:00Z,74.3
2024-08-05T15:20:00Z,71.8
2024-08-05T15:25:00Z,69.6
2024-08-05T15:30:00Z,67.5
2024-08-05T15:35:00Z,65.6
2024-08-05T15:40:00Z,63.8
2024-08-05T15:45:00Z,62.1
2024-08-05T15:50:00Z,60.5
2024-08-05T15:55:00Z,59.0
2024-08-05T16:00:00Z,57.6
2024-08-05T16:05:00Z,56.3
2024-08-05T16:10:00Z,55.1
2024-08-05T16:15:00Z,53.9
2024-08-05T16:20:00Z,52.8
2024-08-05T16:25:00Z,51.8
2024-08-05T16:30:00Z,50.8
2024-08-05T16:35:00Z,49.9
2024-08-05T16:40:00Z,49.0
2024-08-05T16:45:00Z,48.2
2024-08-05T16:50:00Z,47.4
2024-08-05T16:55:00Z,46.7
2024-08-05T17:00:00Z,46.0
2024-08-05T17:05:00Z,45.4
2024-08-05T17:10:00Z,44.8
2024-08-05T17:15:00Z,44.2
2024-08-05T17:20:00Z,43.7
2024-08-05T17:25:00Z,43.2
2024-08-05T17:30:00Z,42.8
2024-08-05T17:35:00Z,42.4
2024-08-05T17:40:00Z,42.0
2024-08-05T17:45:00Z,41.7
2024-08-05T17:50:00Z,41.4
2024-08-05T17:55:00Z,41.1
2024-08-05T18:00:00Z,40.8
