timestamp,sensor_1,sensor_2,sensor_3,eto_ppm,humidity_rh
2024-01-01T10:00:00Z,25.1,24.8,25.3,0,45.2
2024-01-01T10:00:10Z,35.2,34.9,35.5,150,50.1
2024-01-01T10:00:20Z,45.1,44.8,45.4,280,55.3
2024-01-01T10:00:30Z,55.3,55.0,55.6,400,58.7
2024-01-01T10:00:40Z,55.2,54.9,55.5,420,59.2
2024-01-01T10:00:50Z,55.1,54.8,55.4,435,59.8
2024-01-01T10:01:00Z,55.0,54.7,55.3,445,60.1
2024-01-01T10:01:10Z,54.9,54.6,55.2,450,60.4
2024-01-01T10:01:20Z,54.8,54.5,55.1,455,60.7
2024-01-01T10:01:30Z,54.7,54.4,55.0,460,61.0
2024-01-01T10:01:40Z,54.6,54.3,54.9,465,61.2
2024-01-01T10:01:50Z,54.5,54.2,54.8,470,61.5
2024-01-01T10:02:00Z,54.4,54.1,54.7,475,61.8
2024-01-01T10:02:10Z,54.3,54.0,54.6,480,62.0
2024-01-01T10:02:20Z,54.2,53.9,54.5,485,62.3
2024-01-01T10:02:30Z,54.1,53.8,54.4,490,62.5
2024-01-01T10:02:40Z,54.0,53.7,54.3,495,62.8
2024-01-01T10:02:50Z,53.9,53.6,54.2,500,63.0
2024-01-01T10:03:00Z,53.8,53.5,54.1,505,63.2
2024-01-01T10:03:10Z,53.7,53.4,54.0,510,63.5
