timestamp,pmt_sensor_1,pmt_sensor_2
2024-01-15 14:00:00+00:00,24.8,24.5
2024-01-15 14:00:30+00:00,33.2,32.8
2024-01-15 14:01:00+00:00,47.5,47.1
2024-01-15 14:01:30+00:00,64.8,64.4
2024-01-15 14:02:00+00:00,82.1,81.7
2024-01-15 14:02:30+00:00,98.5,98.1
2024-01-15 14:03:00+00:00,114.2,113.8
2024-01-15 14:03:30+00:00,129.0,128.6
2024-01-15 14:04:00+00:00,143.8,143.4
2024-01-15 14:04:30+00:00,157.6,157.2
2024-01-15 14:05:00+00:00,169.4,169.0
2024-01-15 14:05:30+00:00,176.5,176.1
2024-01-15 14:06:00+00:00,180.8,180.4
2024-01-15 14:06:30+00:00,182.3,181.9
2024-01-15 14:07:00+00:00,183.5,183.1
2024-01-15 14:07:30+00:00,184.2,183.8
2024-01-15 14:08:00+00:00,184.0,183.6
2024-01-15 14:08:30+00:00,183.8,183.4
2024-01-15 14:09:00+00:00,183.6,183.2
2024-01-15 14:09:30+00:00,183.4,183.0
2024-01-15 14:10:00+00:00,179.5,179.1
2024-01-15 14:10:30+00:00,176.2,175.8
2024-01-15 14:11:00+00:00,173.0,172.6
2024-01-15 14:11:30+00:00,170.4,170.0
2024-01-15 14:12:00+00:00,168.2,167.8
2024-01-15 14:12:30+00:00,166.5,166.1
2024-01-15 14:13:00+00:00,165.0,164.6
2024-01-15 14:13:30+00:00,163.8,163.4
2024-01-15 14:14:00+00:00,162.5,162.1
2024-01-15 14:14:30+00:00,161.2,160.8
